Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
23,"['Sunrisers Hyderabad', 'Punjab Kings']","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,field,Sunrisers Hyderabad,2.0,,Nithish Kumar Reddy
33,"['Chennai Super Kings', 'Kolkata Knight Riders']","Eden Gardens, Kolkata",Kolkata Knight Riders,field,Chennai Super Kings,49.0,,AM Rahane
37,"['Chennai Super Kings', 'Rajasthan Royals']",De Beers Diamond Oval,Rajasthan Royals,bat,Chennai Super Kings,,7.0,S Badrinath
46,"['Mumbai Indians', 'Delhi Capitals']",Sharjah Cricket Stadium,Delhi Capitals,field,Delhi Capitals,,4.0,AR Patel
unknown,"['Chennai Super Kings', 'Mumbai Indians']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,25.0,,KA Pollard
40,"['Delhi Daredevils', 'Kings XI Punjab']",Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,6.0,,DPMD Jayawardene
61,"['Kochi Tuskers Kerala', 'Rajasthan Royals']",Holkar Cricket Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,,8.0,BJ Hodge
67,"['Delhi Daredevils', 'Royal Challengers Bangalore']",Feroz Shah Kotla,Delhi Daredevils,field,Royal Challengers Bangalore,21.0,,CH Gayle
3,"['Delhi Capitals', 'Mumbai Indians']",Wankhede Stadium,Mumbai Indians,field,Delhi Capitals,37.0,,RR Pant
40,"['Sunrisers Hyderabad', 'Gujarat Titans']","Wankhede Stadium, Mumbai",Gujarat Titans,field,Gujarat Titans,,5.0,Umran Malik
10,"['Kings XI Punjab', 'Rising Pune Supergiants']","Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,bat,Kings XI Punjab,,6.0,M Vohra
23,"['Punjab Kings', 'Mumbai Indians']","Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,field,Punjab Kings,12.0,,MA Agarwal
8,"['Chennai Super Kings', 'Mumbai Indians']","MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,6.0,,ML Hayden
10,"['Rajasthan Royals', 'Chennai Super Kings']",Dubai International Cricket Stadium,Rajasthan Royals,field,Chennai Super Kings,7.0,,RA Jadeja
