Player_Name,Elo
Ruturaj Gaikwad,1525
Devon Conway,1510
Ms Dhoni,1570
Ajinkya Rahane,1545
Sameer Rizvi,1490
Ravindra Jadeja,1780
Mitchell Santner,1530
Moeen Ali,1600
Shivam Dube,1535
Rachin Ravindra,1505
Shardul Thakur,1575
Daryl Mitchell,1490
Rajvardhan Hangargekar,1505
Deepak Chahar,1515
Maheesh Theekshana,1500
Mukesh Choudhary,1505
Mustafizur Rahman,1510
Prashant Solanki,1505
Simarjeet Singh,1505
Tushar Deshpande,1500
Matheesha Pathirana,1510
Rishabh Pant,1530
David Warner,1565
Prithvi Shaw,1530
Yash Dhull,1495
Shai Hope,1495
Abishek Porel,1490
Ricky Bhui,1470
Tristan Stubbs,1480
Axar Patel,1685
Lalit Yadav,1560
Mitchell Marsh,1570
Sumit Kumar,1490
Pravin Dubey,1490
Vicky Ostwal,1490
Anrich Nortje,1525
Kuldeep Yadav,1560
Khaleel Ahmed,1520
Ishant Sharma,1525
Jhye Richardson,1510
Mukesh Kumar,1505
Rasikh Dar,1480
Shubman Gill,1525
David Miller,1540
Matthew Wade,1500
Wriddhiman Saha,1560
Kane Williamson,1520
Abhinav Manohar,1510
B. Sai Sudharsan,1505
Darshan Nalkande,1500
Vijay Shankar,1545
Azmatullah Omarzai,1510
Shahrukh Khan,1515
Jayant Yadav,1490
Rahul Tewatia,1580
Mohammad Shami,1540
Kartik Tyagi,1500
Spencer Johnson,1505
Noor Ahmad,1505
Sai Kishore,1510
Umesh Yadav,1585
Rashid Khan,1605
Joshua Little,1505
Mohit Sharma,1560
Shreyas Iyer,1520
Rinku Singh,1490
Rahmanullah Gurbaz,1505
Nitish Rana,1575
Sherfane Rutherford,1505
Phil Salt,1510
K.S Bharat,1495
Manish Pandey,1565
Anukul Roy,1500
Ramandeep Singh,1505
Andre Russell,1670
Venkatesh Iyer,1520
Suyash Sharma,1495
Mujeeb Ur Rahman,1510
Dushmantha Chameera,1510
Harshit Rana,1505
Sunil Narine,1660
Vaibhav Arora,1510
Varun Chakaravarthy,1520
Mitchell Starc,1520
Chetan Sakariya,1520
Kl Rahul,1545
Devdutt Padikkal,1510
Quinton De Kock,1525
Nicholas Pooran,1530
Ashton Turner,1480
Ayush Badoni,1515
Deepak Hooda,1600
Krishnappa Gowtham,1545
Krunal Pandya,1650
Kyle Mayers,1505
Marcus Stoinis,1640
Mohd. Arshad Khan,1510
Prerak Mankad,1495
Yudhvir Singh,1505
David Willey,1515
Shivam Mavi,1535
Mohsin Khan,1510
Ravi Bishnoi,1520
Yash Thakur,1495
Amit Mishra,1640
Naveen Ul Haq,1515
Rohit Sharma,1615
Dewald Brevis,1505
Suryakumar Yadav,1540
Ishan Kishan,1520
N. Tilak Varma,1505
Tim David,1495
Vishnu Vinod,1490
Hardik Pandya,1625
Arjun Tendulkar,1510
Mohammad Nabi,1530
Romario Shepherd,1510
Shams Mulani,1490
Nehal Wadhera,1505
Gerald Coetzee,1505
Naman Dhir,1495
Jasprit Bumrah,1570
Kumar Kartikeya Singh,1510
Piyush Chawla,1670
Akash Madhwal,1505
Luke Wood,1490
Shreyas Gopal,1520
Shikhar Dhawan,1595
Jitesh Sharma,1505
Jonny Bairstow,1515
Prabhsimran Singh,1490
Liam Livingstone,1545
Harpreet Bhatia,1480
Rilee Rossouw,1495
Shashank Singh,1500
Chris Woakes,1530
Atharva Taide,1505
Rishi Dhawan,1550
Sam Curran,1590
Sikandar Raza,1520
Harpreet Brar,1540
Arshdeep Singh,1535
Kagiso Rabada,1580
Nathan Ellis,1510
Rahul Chahar,1550
Harshal Patel,1605
Sanju Samson,1560
Jos Buttler,1535
Shimron Hetmyer,1515
Yashasvi Jaiswal,1505
Dhruv Jurel,1500
Riyan Parag,1545
Rovman Powell,1500
Ravichandran Ashwin,1665
Avesh Khan,1490
Kuldeep Sen,1495
Navdeep Saini,1515
Prasidh Krishna,1525
Sandeep Sharma,1555
Trent Boult,1550
Yuzvendra Chahal,1545
Adam Zampa,1515
Nandre Burger,1495
Faf Du Plessis,1535
Rajat Patidar,1505
Virat Kohli,1615
Anuj Rawat,1505
Dinesh Karthik,1585
Suyash S Prabhudessai,1500
Glenn Maxwell,1650
Mahipal Lomror,1505
Karn Sharma,1550
Cameron Green,1530
Swapnil Singh,1490
Mayank Dagar,1485
Akash Deep,1505
Alzarri Joseph,1515
Lockie Ferguson,1530
Mohammed Siraj,1560
Yash Dayal,1515
Tom Curran,1540
Reece Topley,1495
Himanshu Sharma,1490
Vyshak Vijay Kumar,1510
Abdul Samad,1510
Aiden Markram,1520
Rahul Tripathi,1530
Glenn Phillips,1500
Mayank Agarwal,1540
Anmolpreet Singh,1495
Heinrich Klaasen,1505
Nitish Kumar Reddy,1490
Travis Head,1525
Abhishek Sharma,1560
Marco Jansen,1510
Washington Sundar,1600
Sanvir Singh,1495
Wanindu Hasaranga,1510
Pat Cummins,1565
Akash Singh,1495
Shahbaz Ahamad,1540
Bhuvneshwar Kumar,1610
Fazalhaq Farooqi,1510
Jaydev Unadkat,1535
T Natarajan,1530
Umran Malik,1520
Mayank Markande,1505
